;AvrBs2;XB3;XopAE;XopAG;XopAK;XopAO1;XopC2;XopE1;XopE4;XopK;XopL;XopN;XopQ;XopR;XopV;XopZ;;;
Choline metabolism in cancer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
PD-L1 expression and PD-1 checkpoint pathway in cancer ;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;;;
Prostate cancer;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;
Hepatocellular carcinoma;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;;
Gastric cancer;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
Glioma;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Rheumatoid arthritis;2;0;4;3;2;0;0;1;0;0;0;1;1;0;2;0;;;
Alzheimer disease;2;3;4;7;3;1;0;3;2;0;0;1;2;1;3;1;;;
Parkinson disease;2;3;4;5;0;1;0;2;1;0;0;0;1;1;2;1;;;
Huntington disease;2;3;4;5;0;0;0;2;1;0;0;0;1;1;2;1;;;
Spinocerebellar ataxia;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;;;
Prion diseases;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
Amphetamine addiction;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Alcoholism;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Fluid shear stress and atherosclerosis;0;2;2;1;2;0;0;1;0;0;0;1;1;0;0;0;;;
Hypertrophic cardiomyopathy (HCM);1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;;;
Type II diabetes mellitus;1;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;;;
Type I diabetes mellitus;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;;;
Non-alcoholic fatty liver disease (NAFLD);2;2;4;5;1;0;0;3;1;0;0;0;1;2;2;1;;;
Insulin resistance;3;1;2;2;4;0;0;1;0;0;0;0;0;2;2;0;;;
Vibrio cholerae infection;2;1;3;3;2;0;0;1;0;0;0;1;1;0;2;0;;;
